X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-0.262,0.001
0,5.2,0.92,-0.2,,
1,-0.2,1,5,,
2,-0.2,0.92,-0.2,,
3,5.2,1,5,,
4,-0.2,0.92,-0.2,,
5,5.2,0.98,5,,
6,-0.2,0.92,-0.2,,
7,5.2,0.98,5,,
8,-0.2,0.92,-0.2,,
9,5.2,1,5,,
10,-0.2,0.98,-0.2,,
11,5.2,0.9,5,,
12,-0.2,0.92,-0.2,,
13,5.2,1,5,,
14,-0.2,0.92,-0.2,,
15,5.2,0.98,5,,
16,-0.2,0.92,-0.2,,
17,5.2,0.98,5,,
18,-0.2,0.9,-0.2,,
19,5.2,0.98,5,,
20,-0.2,0.92,5,,
21,5.2,1,-0.4,,
22,-0.2,0.9,5,,
23,5.2,0.98,-0.2,,
24,-0.2,0.88,5,,
25,5.2,0.98,-0.2,,
26,-0.2,0.92,5,,
27,5.2,0.98,-0.2,,
28,-0.2,0.92,5,,
29,5.2,1,-0.2,,
30,-0.2,0.92,5,,
31,5.2,1,-0.2,,
32,-0.2,0.88,5,,
33,5.2,1,-0.2,,
34,-0.2,0.88,5,,
35,5.2,0.98,-0.2,,
36,-0.2,0.88,-0.2,,
37,5.2,0.98,5,,
38,0,0.86,-0.2,,
39,5.2,1,5,,
40,-0.2,0.84,5,,
41,5.2,0.98,-0.4,,
42,-0.2,0.88,-0.2,,
43,5.2,0.98,5,,
44,-0.2,0.92,-0.2,,
45,5.2,1,5,,
46,-0.2,1,-0.2,,
47,5.2,0.9,5,,
48,-0.2,0.92,-0.2,,
49,5.2,1,5,,
50,-0.2,0.92,-0.2,,
51,5.2,1,5,,
52,-0.2,0.96,5,,
53,5.2,0.92,-0.4,,
54,-0.2,0.96,-0.2,,
55,5.2,0.92,5,,
56,-0.2,0.92,-0.2,,
57,5.2,1,5,,
58,-0.2,0.98,-0.2,,
59,5.2,0.92,5,,
60,-0.2,0.92,-0.2,,
61,5.2,0.98,5,,
62,-0.2,1,-0.2,,
63,5.2,0.92,5,,
64,5.2,0.92,5,,
65,-0.2,1,-0.2,,
66,5.2,1,5,,
67,-0.2,0.92,-0.2,,
68,5.2,1,5,,
69,-0.2,0.94,-0.2,,
70,5.2,1,5,,
71,-0.2,0.92,-0.2,,
72,5.2,1,5,,
73,-0.2,0.92,-0.2,,
74,5.2,0.92,5,,
75,-0.2,1,-0.2,,
76,5.2,0.94,-0.2,,
77,-0.2,1,5,,
78,5.2,1,-0.2,,
79,-0.2,0.92,5,,
80,5.2,1,-0.2,,
81,-0.2,0.92,5,,
82,5.2,1,-0.2,,
83,-0.2,0.92,5,,
84,5.2,0.92,-0.2,,
85,-0.2,1,5,,
86,5.2,0.98,-0.2,,
87,-0.2,0.92,5,,
88,5.2,0.92,-0.4,,
89,-0.2,0.98,5,,
90,5.2,0.98,-0.2,,
91,-0.2,0.92,5,,
92,5.2,1,-0.2,,
93,-0.2,0.9,5,,
94,5.2,0.92,5,,
95,-0.2,1,-0.4,,
96,5.2,0.9,-0.2,,
97,-0.2,1,5,,
98,-0.2,0.88,-0.2,,
99,5.2,1,5,,
100,5.2,0.88,-0.2,,
101,-0.2,1,5,,
102,5.2,0.9,-0.2,,
103,-0.2,0.98,5,,
104,-0.2,0.86,-0.4,,
105,5.2,0.98,5,,
106,0,0.9,5,,
107,5.2,0.98,-0.2,,
108,-0.2,0.84,5,,
109,5.2,0.98,-0.2,,
110,-0.2,0.92,5,,
111,5.2,0.98,-0.2,,
112,-0.2,0.9,5,,
113,5.2,0.98,-0.2,,
114,-0.2,1,-0.2,,
115,5.2,0.92,5,,
116,-0.2,0.92,-0.2,,
117,5.2,1,5,,
118,-0.2,0.92,-0.2,,
119,5.2,1,5,,
120,5.2,0.92,-0.2,,
121,-0.2,1,5,,
122,-0.2,0.92,5,,
123,5.2,0.98,-0.4,,
124,-0.2,0.94,-0.2,,
125,5.2,1,5,,
126,-0.2,0.92,-0.2,,
